Scenario,Pair,Agent,Cumulative Reward,Holding Cost,Lost Sales (units),Ordering Quantity,Service Level (%),Avg Inventory,Total Cost
Scenario B,S004_P0016,Fixed-S Policy,-71684.18199883508,3260.5289148045704,2227.46385825146,1599.7373364866953,43.205918908261545,108.68429716015234,71684.18199883508
Scenario B,S004_P0016,Forecast Base-Stock,-57481.022822900864,3653.9879182577133,1722.2871857881546,2158.4193309985094,56.08650720389288,121.79959727525711,57481.022822900864
Scenario B,S003_P0017,RL+LSTM Agent,-47972.36595027933,5965.00416469574,1298.1899347305298,3061.6637436676965,70.10156754924921,198.83347215652466,47972.36595027933
Scenario B,S003_P0017,Standard RL Agent,-82234.0309107571,2958.5067875385284,2585.9699717760086,1696.4249699382963,40.44288400921566,98.61689291795095,82234.0309107571
Scenario B,S003_P0017,Fixed-S Policy,-76652.93802446357,3277.8326286673546,2387.6416699290276,1745.8552979253836,45.010555639696236,109.26108762224517,76652.93802446357
Scenario B,S003_P0017,Forecast Base-Stock,-62937.45182107121,3673.7115483283997,1892.8532454967499,2478.1429078403135,56.40595926248938,122.45705161094665,62937.45182107121
Scenario B,S001_P0003,RL+LSTM Agent,-26934.419280663446,5471.851604938507,620.2301826477051,2855.662196293792,81.86461450200804,182.39505349795024,26934.419280663446
Scenario B,S001_P0003,Standard RL Agent,-60119.20288171833,1741.8579224944115,1900.2040129303932,1371.2245713121238,44.43847903013448,58.061930749813726,60119.20288171833
Scenario B,S001_P0003,Fixed-S Policy,-54956.574516204724,2708.951932117343,1683.696487531066,1736.7279581554062,50.769108441898105,90.29839773724477,54956.574516204724
Scenario B,S001_P0003,Forecast Base-Stock,-40508.46100964405,2899.7952340245247,1177.7749942541122,2275.4159479961663,65.56213459410782,96.65984113415082,40508.46100964405
Scenario B,S003_P0005,RL+LSTM Agent,-44152.20040385075,5315.439200878143,1178.955795288086,3468.0873443300234,74.57503137183339,177.1813066959381,44152.20040385075
Scenario B,S003_P0005,Standard RL Agent,-82979.84383657042,2115.3885209560394,2627.06579041481,2052.4816031700625,43.34557277518202,70.51295069853465,82979.84383657042
Scenario B,S003_P0005,Fixed-S Policy,-81867.2102810368,2643.9096167087555,2569.520954847336,2137.672018907976,44.58656556292137,88.13032055695852,81867.2102810368
Scenario B,S003_P0005,Forecast Base-Stock,-68167.42016686438,3370.166683793068,2072.734378218651,2615.222136511788,55.30009967179964,112.33888945976894,68167.42016686438
Scenario B,S004_P0011,RL+LSTM Agent,-44965.28054476041,5658.839738845825,1193.215871810913,3509.9646515871927,73.53701774690735,188.62799129486083,44965.28054476041
Scenario B,S004_P0011,Standard RL Agent,-80108.51661695282,2059.689961910248,2546.200918674469,1662.7990948085157,43.53069606639603,68.65633206367492,80108.51661695282
Scenario B,S004_P0011,Fixed-S Policy,-82436.53401533951,2666.3027927726507,2593.901937022805,1953.173111882695,42.47278925185568,88.87675975908836,82436.53401533951
